innovation,integrity,quality,respect,teamwork,document_length,Doc_ID
149,30,68,37,31,2757,5654160
29,3,26,3,3,1311,5654168
31,2,13,12,15,1022,5654174
26,7,19,23,22,1149,5654175
18,2,21,5,5,1423,5654181
85,8,57,2,11,1787,5654220
53,17,33,9,22,1677,5654221
1,0,0,0,0,41,5654226
11,10,14,3,9,1144,5654227
44,2,41,0,5,974,5654238
50,11,47,17,14,2412,5654239
59,5,48,17,12,2323,5654244
61,7,42,21,7,2035,5654296
69,4,56,4,15,2402,5654467
73,14,106,14,11,3032,5654468
0,0,0,0,0,28,5654545
71,13,32,11,26,1794,5654572
7,5,18,1,11,1540,5654603
73,13,47,9,15,3728,5654606
32,18,51,16,8,2111,5654699
44,4,25,13,6,1297,5654777
57,4,42,6,16,1535,5654845
21,3,7,1,1,1088,5654849
47,4,31,4,14,2163,5654854
50,18,70,18,7,3107,5654856
66,4,58,13,11,2344,5654890
83,20,52,13,20,3538,5654905
7,1,8,2,4,608,5654907
5,4,2,0,0,1299,5654911
48,3,48,3,14,1873,5654946
29,1,53,6,13,1968,5654947
18,7,29,3,3,542,5654964
54,4,104,13,7,1962,5654978
10,8,22,17,5,1120,5655005
115,22,100,35,25,2244,5655016
95,11,66,24,28,3071,5655018
26,5,15,4,5,1705,5655020
7,1,6,3,2,685,5655030
87,8,56,28,21,2731,5655033
55,7,37,32,4,1065,5655036
4,1,3,1,0,262,5655080
91,7,26,16,9,2798,5655081
50,8,74,10,6,2175,5655091
33,5,30,7,2,1071,5655094
69,22,56,23,14,2052,5655178
52,18,69,17,9,1713,5655189
34,16,30,11,10,1520,5655196
9,2,17,3,1,803,5655245
98,18,96,6,26,3465,5655257
101,8,38,12,5,2814,5655296
74,11,35,19,15,1686,5655305
57,3,31,37,11,1557,5655309
7,1,2,1,2,521,5655314
47,6,58,9,9,2022,5655319
62,5,70,6,9,2719,5655372
58,3,35,6,17,2768,5655381
77,4,71,17,14,2183,5655383
96,5,32,9,5,1724,5655457
27,5,30,10,5,1372,5655463
80,5,26,9,15,1335,5655471
53,6,51,1,3,1595,5655485
19,3,2,4,12,1320,5655518
41,6,29,5,16,1606,5655519
8,4,14,4,10,1062,5655531
20,1,14,3,2,681,5655559
88,6,46,4,5,3200,5655575
20,7,6,3,13,784,5655600
47,2,20,3,16,1784,5655653
0,0,1,2,0,41,5655666
4,0,7,1,0,174,5655675
47,9,44,1,6,1590,5655678
29,5,54,9,9,2226,5655683
51,0,49,1,15,1548,5655697
84,8,76,29,23,2975,5655826
42,12,26,2,7,2642,5655832
63,17,53,18,26,1807,5655845
41,2,33,6,6,1707,5655862
54,2,46,2,14,1332,5655884
16,3,35,1,6,1107,5655902
11,3,5,3,5,403,5655926
39,10,26,5,8,2863,5655941
38,10,39,3,8,1725,5655991
4,5,16,3,0,1125,5656009
26,13,11,5,11,1943,5656070
27,0,7,0,0,601,5656121
19,4,13,5,6,718,5656134
9,0,3,0,2,292,5656244
77,7,66,7,46,3227,5656275
37,1,26,2,9,1986,5656413
107,18,64,22,18,3108,5656439
136,17,44,15,6,3150,5656442
159,37,80,27,21,4628,5656445
21,7,8,2,2,1098,5656454
17,3,26,10,15,663,5656501
23,4,8,9,13,1636,5656520
182,21,143,37,36,3900,5656581
61,4,127,21,20,3657,5656597
47,11,67,7,11,3465,5656656
0,0,0,0,0,43,5656707
13,8,30,0,3,857,5656709
65,13,67,27,22,2359,5656803
8,7,5,0,0,313,5656842
27,3,19,2,9,1603,5656872
55,31,28,24,13,3645,5656873
55,11,51,14,6,2604,5657035
213,34,254,50,68,6132,5657095
59,7,32,10,9,1565,5657098
109,7,121,7,7,2724,5657163
37,1,17,9,7,828,5657164
71,11,74,22,18,2287,5657173
8,11,9,1,2,907,5657215
64,34,45,9,23,2432,5657217
5,1,5,4,8,589,5657227
8,5,23,3,7,1466,5657277
22,4,40,2,13,2249,5657290
33,2,21,1,5,494,5657324
31,6,22,19,28,1568,5657339
43,4,26,12,4,561,5657351
33,3,41,21,2,945,5657352
13,3,20,2,9,938,5657360
23,0,12,2,5,902,5657362
96,8,102,22,19,2916,5657379
20,5,35,7,2,1920,5657451
53,1,31,4,2,1543,5657452
55,9,52,4,3,1608,5657495
84,10,93,5,3,2037,5657497
53,11,69,10,15,2831,5657498
63,6,75,22,22,3089,5657537
100,8,88,6,13,2762,5657539
63,24,84,22,22,3258,5657542
871,79,680,99,217,16526,5657544
49,20,78,21,18,3320,5657568
30,29,37,2,12,1692,5657570
37,6,18,19,15,1174,5657571
70,2,46,20,10,2372,5657604
50,26,16,18,16,2919,5657632
5,5,6,4,4,1365,5657644
30,11,17,2,4,1436,5657645
23,17,23,13,12,1314,5657653
43,8,26,23,32,2309,5657661
64,21,70,47,15,2161,5657704
7,1,5,1,3,691,5657734
1378,218,916,296,328,20032,5657740
300,45,200,54,82,9255,5657741
28,3,20,6,15,1264,5657762
43,45,38,25,14,2078,5657817
0,0,0,1,0,67,5657826
80,6,58,7,7,2458,5657831
196,26,95,26,38,4868,5657843
31,2,40,10,12,1694,5657896
7,8,5,6,0,461,5657911
22,5,21,1,5,987,5657915
15,4,18,2,6,626,5657919
12,2,13,4,9,783,5657925
56,9,59,7,17,2420,5657927
16,2,8,4,4,888,5657928
54,7,52,2,14,2131,5658030
34,13,26,4,7,1648,5658091
13,2,16,9,6,629,5658148
50,2,69,11,18,2382,5658173
83,17,71,12,21,3628,5658191
45,19,26,2,13,2274,5658193
53,2,60,10,14,1373,5658230
24,5,17,4,7,1640,5658232
20,6,19,1,11,988,5658239
26,2,49,9,5,1899,5658246
14,4,6,5,12,768,5658248
62,15,64,12,6,3124,5658284
69,3,29,14,21,1595,5658322
24,8,24,5,5,1353,5658612
16,2,12,0,0,619,5658706
20,0,9,7,2,325,5658751
14,2,16,1,5,984,5658872
38,4,6,6,15,1544,5658903
4,0,6,1,6,659,5658910
10,8,12,3,1,1093,5658911
29,3,33,4,10,1128,5658933
136,6,85,22,10,2444,5658958
36,9,34,3,7,1110,5658966
14,0,2,0,0,337,5658993
1,0,0,0,0,166,5658997
95,9,45,8,35,3306,5659005
70,5,70,8,14,1198,5659007
0,1,0,0,0,38,5659016
22,2,16,2,2,324,5659056
154,19,126,35,17,1985,5659063
7,3,6,1,3,405,5659070
38,10,14,0,23,1819,5659102
16,7,12,5,4,793,5659120
40,4,84,7,10,2329,5659135
49,6,52,6,7,2918,5659185
7,3,2,6,3,584,5659200
6,4,11,2,8,381,5659234
61,15,38,12,15,2440,5659263
70,23,71,8,5,2764,5659267
13,2,16,2,9,1194,5659290
55,11,43,14,14,2444,5659293
64,6,53,2,13,2971,5659304
21,3,17,2,4,1315,5659310
19,1,5,0,4,877,5659360
76,9,54,16,7,2941,5659363
33,3,45,8,6,1032,5659378
27,3,6,3,6,1110,5659383
10,2,5,0,6,1120,5659385
3,2,4,0,1,410,5659425
11,9,11,6,11,669,5659435
57,13,37,41,12,3348,5659438
79,2,31,10,6,2023,5659449
100,3,52,1,6,2125,5659460
384,24,173,26,35,5571,5659464
39,14,35,6,7,1828,5659504
112,6,36,13,46,1945,5659524
18,0,10,0,1,299,5659572
17,10,31,4,2,2290,5659590
77,8,59,13,7,2350,5659622
18,4,33,2,7,1353,5659680
9,1,4,1,3,865,5659711
0,0,0,0,0,29,5659729
41,14,51,12,21,2658,5659776
37,6,14,2,3,1716,5660035
33,5,28,6,2,992,5660067
13,2,9,6,6,936,5660135
108,14,91,18,29,3465,5660138
20,2,9,4,4,1063,5660235
46,6,48,9,24,2441,5660237
29,7,51,12,17,2045,5660262
26,9,25,4,3,2119,5660270
35,3,23,5,25,1629,5660273
90,7,57,8,27,2890,5660307
36,15,57,5,15,2248,5660315
5,0,2,0,2,206,5660330
17,2,8,4,11,792,5660339
3,0,5,0,6,280,5660371
20,1,16,7,14,1269,5660382
35,6,43,4,9,3293,5660395
18,12,25,20,7,1216,5660415
4,0,12,0,1,603,5660416
29,6,29,8,2,1211,5660428
62,3,34,6,9,2897,5660436
653,83,462,139,135,11999,5660438
33,3,25,10,9,1624,5660443
17,11,13,10,4,368,5660449
53,37,20,5,17,1727,5660452
2,5,8,1,1,386,5660472
41,11,38,5,9,3006,5660484
8,2,8,2,1,802,5660505
113,23,68,37,17,2350,5660508
2,0,2,0,0,99,5660509
30,11,33,4,13,2024,5660511
23,7,28,6,3,2072,5660513
1,0,0,0,0,61,5660521
56,8,35,10,4,3636,5660522
13,2,16,0,6,623,5660614
43,8,40,18,8,1535,5660643
73,11,37,17,16,1333,5660644
10,2,6,1,1,586,5660670
36,2,13,8,3,1382,5660672
18,2,19,9,5,686,5660673
28,8,33,1,3,712,5660675
20,12,21,1,19,737,5660688
35,5,41,5,21,1409,5660691
8,3,6,1,1,564,5660703
35,7,24,10,5,1596,5660720
160,20,56,18,25,3167,5660727
12,2,20,7,3,781,5660744
17,9,22,7,13,2732,5660759
45,15,27,6,13,3441,5660770
36,11,37,6,11,2998,5660775
21,5,9,4,7,1104,5660778
28,8,17,2,16,1538,5660779
69,17,28,16,15,1576,5660781
75,10,96,10,16,3737,5660790
49,5,33,2,8,2953,5660801
24,0,11,3,1,806,5660806
45,4,69,2,9,2355,5660838
8,1,3,0,14,597,5660848
149,10,61,3,13,2453,5660851
25,22,54,1,20,2160,5660854
14,2,8,0,5,507,5660860
116,7,43,16,17,2434,5660868
23,12,28,7,12,1861,5661017
40,11,35,8,30,1016,5661076
17,7,32,7,17,2654,5661212
36,13,39,4,14,1867,5661214
21,3,36,2,11,1388,5661229
44,15,50,14,7,1702,5661238
9,11,18,0,5,864,5661356
29,3,14,6,14,1419,5661454
77,35,106,16,18,5518,5661493
16,11,15,14,3,869,5661530
37,5,18,2,5,1446,5661591
63,12,26,0,7,2398,5661613
106,2,42,14,34,3563,5661623
19,3,20,5,10,2019,5661628
67,5,64,9,14,1729,5661637
166,30,176,16,15,4284,5661646
72,11,42,6,9,2663,5661650
35,2,17,2,5,847,5661658
31,1,32,9,4,2010,5661659
37,12,29,4,22,2088,5661684
93,10,89,7,17,3592,5661688
93,2,71,18,16,3362,5661689
52,11,46,5,9,2643,5661690
21,4,7,0,5,1683,5661735
8,0,10,5,4,1302,5661738
14,1,5,9,3,342,5661740
194,360,168,228,87,11269,5661762
4,6,3,3,1,148,5661814
46,11,33,14,9,1259,5661883
39,3,53,20,22,1568,5661885
74,13,73,8,8,3705,5661938
10,6,4,3,9,875,5661939
28,2,34,12,16,1687,5661988
53,10,60,10,6,2889,5662004
39,2,40,12,11,815,5662005
24,5,32,0,11,1543,5662006
60,7,57,9,5,2656,5662045
48,0,44,4,5,2457,5662046
15,2,7,3,12,1061,5662055
0,0,1,0,0,34,5662062
15,1,9,1,3,411,5662094
66,13,45,19,20,2347,5662138
24,6,10,8,21,1703,5662150
16,1,10,0,1,788,5662170
18,0,26,3,4,876,5662171
7,0,2,1,10,690,5662174
138,17,60,7,15,2494,5662175
35,6,27,13,5,1363,5662177
4,0,0,0,2,289,5662220
42,7,45,14,9,2330,5662301
48,22,20,31,16,2362,5662436
16,3,48,12,1,1908,5662460
50,12,36,5,8,2539,5662528
21,6,23,8,11,2729,5662599
43,11,63,27,7,2057,5662675
14,12,53,6,17,1734,5662746
50,11,48,13,13,2386,5662759
57,9,46,12,8,3198,5662784
12,0,34,0,3,1334,5662787
43,9,63,11,16,2473,5662824
28,4,21,4,10,1163,5662853
58,18,58,22,6,1666,5662895
36,0,15,13,2,1130,5662897
35,10,32,15,4,2590,5662898
130,31,98,58,27,4383,5662900
42,5,39,3,11,2471,5662906
12,1,20,1,6,563,5662910
16,1,6,2,4,1007,5662944
42,7,42,8,12,2499,5663052
44,20,69,17,39,2393,5663053
40,25,30,11,6,3107,5663098
28,7,19,7,14,1322,5663104
113,10,74,11,32,2074,5663116
40,6,22,3,7,1720,5663125
64,6,71,9,16,2551,5663126
80,11,31,11,21,2924,5663137
32,9,23,5,25,1749,5663146
82,26,95,21,32,5062,5663195
30,9,18,13,17,1113,5663224
9,5,2,3,6,505,5663261
91,14,44,51,22,3281,5663266
27,3,15,5,4,836,5663302
36,35,15,11,7,1112,5663304
106,16,81,26,20,2401,5663318
37,8,43,3,4,2275,5663322
93,11,27,6,28,1821,5663431
151,38,125,54,38,5303,5663465
22,1,25,5,8,1498,5663468
43,2,9,5,4,1710,5663654
6,8,19,1,3,697,5663655
14,13,13,1,6,1416,5663722
44,40,63,34,28,2523,5663723
47,10,62,4,30,3158,5663744
28,11,46,5,2,2674,5663755
51,12,43,9,17,3894,5663837
9,2,11,8,0,447,5663879
100,7,51,17,43,2591,5663945
3,1,3,0,5,426,5663957
47,28,22,25,20,1551,5664057
76,16,62,38,54,3483,5664066
97,13,97,11,12,3198,5664099
15,3,10,0,3,839,5664101
70,8,30,2,9,3232,5664118
41,2,61,1,19,2715,5664149
3,2,4,0,2,658,5664151
82,6,106,8,15,2597,5664153
57,10,53,11,8,1976,5664187
9,1,12,0,2,298,5664188
23,16,45,2,20,1682,5664231
62,9,38,14,19,1708,5664249
49,3,29,7,3,2335,5664325
14,4,24,4,3,1811,5664354
117,24,60,22,12,2845,5664372
101,17,95,20,17,2942,5664375
39,20,34,9,35,1728,5664385
109,8,56,10,15,2285,5664386
0,0,3,0,3,141,5664392
74,3,40,6,19,1524,5664432
24,6,21,5,13,1832,5664443
6,2,13,2,0,788,5664470
156,6,38,7,14,2935,5664471
18,5,23,22,4,1357,5664477
127,7,70,15,20,1996,5664485
135,9,111,19,14,3515,5664491
64,11,104,11,15,2340,5664500
72,15,51,33,15,3125,5664501
78,11,89,5,13,3119,5664526
8,5,18,1,11,820,5664527
7,4,15,4,5,1338,5664529
36,6,68,17,13,2634,5664531
0,0,0,0,0,32,5664538
59,5,17,8,7,2576,5664544
31,5,27,5,12,1075,5664555
52,6,39,6,16,3228,5664575
122,22,120,11,13,3804,5664583
18,4,13,0,16,768,5664598
50,5,51,18,12,2354,5664604
23,3,28,1,1,1113,5664615
85,10,75,29,10,3388,5664620
32,16,24,6,8,2525,5664638
33,2,27,2,2,1253,5664662
56,3,32,1,9,1974,5664664
24,2,13,0,13,1295,5664666
11,0,5,0,0,961,5664668
56,15,63,11,23,1847,5664709
0,0,0,0,1,125,5664805
112,11,65,34,26,1976,5664818
46,17,44,14,17,2181,5664824
15,3,23,11,8,1859,5664843
27,3,26,1,8,644,5664853
31,3,40,10,15,1522,5665017
40,12,64,6,4,2274,5665104
45,9,51,15,10,1547,5665105
10,2,7,2,5,1030,5665167
39,11,72,6,30,2782,5665203
80,6,72,2,4,2749,5665238
61,15,39,9,6,3016,5665246
91,12,39,5,39,3450,5665265
12,4,12,2,8,1054,5665266
7,7,12,7,11,853,5665291
34,4,33,11,5,1792,5665299
22,5,37,3,8,1567,5665307
88,5,67,10,10,2413,5665313
84,10,77,11,14,4216,5665315
50,3,64,1,5,2105,5665323
68,24,59,6,22,3386,5665324
20,4,21,2,4,2486,5665325
44,5,39,5,9,2593,5665326
88,4,65,35,21,2420,5665327
74,4,30,15,6,1400,5665342
31,18,16,14,11,910,5665348
21,3,4,4,12,1334,5665360
68,15,50,11,18,2922,5665362
19,3,33,9,3,1560,5665363
73,5,29,5,12,3242,5665398
26,7,29,1,7,808,5665409
32,11,47,31,19,2308,5665451
30,11,28,15,9,1469,5665458
44,5,103,5,10,2729,5665462
36,14,51,4,8,4182,5665463
28,16,29,1,0,2579,5665491
45,4,58,15,8,1909,5665492
44,3,53,15,16,2398,5665534
35,4,32,2,10,1019,5665557
57,12,41,0,12,1315,5665566
47,6,36,5,5,2614,5665592
74,26,43,17,2,2150,5665598
32,5,21,11,3,1308,5665609
91,12,58,10,9,3154,5665631
59,5,65,8,7,1667,5665638
30,4,22,3,9,1010,5665645
33,3,21,0,3,1076,5665648
53,2,32,15,3,1114,5665651
94,9,69,53,25,2633,5665653
41,2,23,11,3,1214,5665680
36,10,27,5,9,2982,5665681
34,3,18,5,4,1842,5665684
63,13,81,23,11,2521,5665701
57,8,52,6,23,2407,5665705
6,1,5,0,1,836,5665716
19,1,7,4,1,1158,5665718
1,0,1,0,0,32,5665725
9,6,5,4,0,804,5665728
12,0,24,0,5,1579,5665746
48,5,48,5,15,1930,5665759
7,4,28,4,17,1317,5665779
14,70,14,19,15,2565,5665841
42,16,37,9,21,2319,5665911
13,16,18,1,7,1808,5665953
34,22,35,12,10,2147,5665968
75,10,45,5,15,3743,5666204
29,4,22,4,2,1652,5666205
25,17,37,4,7,2731,5666240
66,4,56,7,17,2205,5666269
21,14,15,11,19,1531,5666280
87,11,62,12,12,4349,5666286
26,11,35,4,10,1532,5666366
55,4,32,2,11,1929,5666369
11,1,12,3,0,1534,5666396
32,9,31,5,9,2080,5666435
94,27,58,16,38,3834,5666439
128,12,68,7,32,3635,5666462
32,2,26,2,12,1379,5666479
24,4,13,6,2,1471,5666481
4,2,13,2,2,582,5666502
78,2,81,3,10,2533,5666506
24,4,17,5,4,831,5666516
15,5,17,0,5,590,5666568
34,4,33,2,13,2992,5666579
35,5,26,1,6,1709,5666585
40,5,25,14,10,1944,5666587
109,10,41,47,32,2792,5666610
25,6,17,22,6,1620,5666620
91,5,57,30,3,3078,5666638
8,2,16,0,8,1183,5666639
32,4,30,4,10,2565,5666645
21,4,6,5,2,1499,5666731
5,0,3,0,0,245,5666805
62,8,120,15,10,2799,5666808
5,0,5,7,3,544,5666816
11,3,5,1,5,606,5666822
48,2,60,12,9,1992,5666836
0,0,0,0,0,59,5666842
3,0,3,1,1,314,5666854
137,7,40,8,28,2759,5666862
27,16,50,6,6,2725,5666867
11,5,11,4,8,1288,5666868
86,7,62,9,13,3237,5666871
122,19,162,24,20,5035,5666875
66,20,44,28,10,2479,5666877
16,5,12,2,6,560,5666885
181,14,55,21,16,3359,5666893
32,3,23,4,6,1871,5666908
158,21,171,51,42,4181,5666910
40,5,26,8,7,1479,5666912
39,11,21,7,20,2409,5666913
20,1,11,13,6,663,5666916
12,2,5,1,4,470,5666923
22,13,4,5,5,1080,5666929
17,1,11,2,14,854,5666963
14,2,9,1,6,706,5666971
34,2,32,1,4,1470,5666976
35,6,23,6,26,1339,5666993
73,11,52,19,1,2563,5667017
12,4,43,0,8,1222,5667034
8,0,32,0,3,893,5667036
11,0,8,1,2,435,5667038
18,4,14,1,7,838,5667045
37,5,26,0,4,842,5667047
14,8,55,6,16,1505,5667239
20,4,17,6,5,982,5667343
12,1,14,3,8,835,5667407
20,13,29,2,23,2190,5667514
13,8,19,4,7,1691,5667536
88,26,77,8,23,2891,5667543
41,11,10,1,8,1518,5667546
7,6,44,2,0,1620,5667655
68,14,84,21,23,3770,5667722
29,4,9,0,5,560,5667750
62,9,67,4,11,2011,5667805
0,7,15,1,2,833,5667811
2,4,15,2,7,427,5667835
91,12,89,11,18,4195,5667836
50,1,13,3,15,1429,5667851
47,2,32,15,12,2556,5667863
4,0,4,1,5,903,5667895
3,0,1,0,3,240,5667901
53,13,54,5,21,3315,5667902
79,13,56,11,30,3151,5667903
52,4,31,10,11,1177,5667909
53,22,74,25,11,2939,5667913
87,8,80,12,18,4332,5667922
26,2,28,0,6,1544,5667948
122,10,108,36,24,2672,5667950
8,3,19,1,5,1373,5667951
20,0,23,1,3,384,5667984
70,15,39,6,19,2398,5667991
46,10,9,19,5,1731,5668001
21,2,24,6,2,981,5668022
27,4,34,6,0,1060,5668023
75,7,44,14,19,2712,5668084
15,3,16,3,1,1877,5668098
38,12,58,8,13,1798,5668125
35,3,27,6,7,2052,5668130
44,3,11,1,6,2631,5668134
16,4,22,2,6,1280,5668135
45,17,29,11,7,2710,5668145
97,7,53,17,10,2927,5668148
16,7,8,1,4,341,5668149
22,40,21,8,7,1283,5668184
6,0,0,0,4,480,5668193
26,3,38,7,5,2467,5668194
14,0,3,1,2,844,5668223
6,1,8,1,3,727,5668224
9,2,12,1,0,871,5668225
196,37,86,50,33,5696,5668240
71,18,59,7,10,3248,5668253
17,4,8,5,2,1366,5668258
45,6,27,4,4,1341,5668259
20,3,31,3,10,1690,5668265
87,22,41,58,14,1843,5668266
64,4,51,7,7,2499,5668267
136,38,64,16,13,3229,5668270
97,5,72,0,26,3022,5668277
20,4,40,3,14,1108,5668349
35,9,49,7,7,2299,5668351
36,5,53,13,14,1917,5668371
10,1,22,0,3,1642,5668374
42,3,37,5,14,1747,5668384
28,10,14,10,18,1733,5668414
16,4,15,4,0,494,5668426
23,9,20,11,3,1874,5668433
39,0,25,2,15,1470,5668435
34,14,57,5,10,2723,5668774
2,0,3,0,3,55,5668789
46,11,55,2,4,2228,5668900
35,2,31,4,5,2278,5668963
27,3,30,1,2,866,5668964
24,4,2,3,33,1667,5668985
38,6,31,2,11,2641,5669046
1,0,1,0,0,73,5669292
48,4,39,5,7,1940,5669337
29,10,45,12,7,2248,5669365
29,3,12,4,5,835,5669431
8,0,19,0,7,1051,5669432
74,6,95,25,12,2785,5669453
39,12,22,3,13,1830,5669472
28,5,15,5,4,1593,5669507
1,0,0,0,0,12,5669508
164,16,116,49,34,3551,5669528
63,17,57,16,20,3004,5669529
21,37,27,34,12,1475,5669536
74,10,39,6,29,3370,5669583
82,4,105,3,9,3257,5669584
116,7,83,7,30,3032,5669585
115,11,72,14,17,3761,5669587
35,4,39,4,11,1917,5669623
77,6,64,8,17,2378,5669625
10,4,4,0,2,799,5669643
83,16,38,12,24,2879,5669645
42,14,19,25,11,1777,5669688
31,6,67,5,4,2228,5669705
63,7,34,7,2,3653,5669764
7,0,6,2,0,339,5669778
102,14,124,10,52,3540,5669794
12,6,4,3,0,476,5669818
7,8,8,5,7,700,5669870
77,7,85,14,13,1717,5669898
18,3,17,2,7,1002,5669919
51,4,25,1,6,2095,5669954
78,7,33,5,11,2779,5669959
5,0,7,2,0,355,5670001
72,8,79,8,6,2351,5670010
55,9,36,27,12,3632,5670013
43,8,26,10,13,1352,5670015
84,8,70,6,14,3312,5670016
94,11,78,6,18,3028,5670019
91,7,83,5,10,2827,5670033
24,8,62,4,1,1557,5670035
89,3,19,10,10,1136,5670048
119,12,72,35,13,1522,5670051
56,8,40,10,6,2070,5670052
356,139,336,101,74,9387,5670053
158,37,76,12,27,4448,5670054
3,2,3,2,3,667,5670058
12,4,18,4,7,1087,5670095
38,2,9,21,11,1363,5670097
23,3,13,2,9,963,5670102
47,7,17,0,15,2622,5670149
55,12,32,12,16,2102,5670150
18,5,26,2,6,1497,5670187
18,0,17,4,1,1136,5670214
31,5,20,15,7,1075,5670216
20,3,19,2,4,805,5670218
43,16,31,15,9,1315,5670252
30,9,26,2,7,1090,5670255
1,0,0,0,2,108,5670258
10,2,4,3,1,569,5670311
10,1,7,1,1,340,5670317
28,1,17,1,1,1159,5670367
87,7,46,28,11,3652,5670413
242,69,216,90,42,8391,5670416
11,8,29,2,12,1286,5670417
75,26,62,3,46,3217,5670419
41,10,43,1,21,1896,5670421
11,2,11,1,1,614,5670435
1,2,2,0,5,139,5670437
4,1,7,0,3,420,5670439
44,23,63,16,29,2974,5670442
54,11,54,3,30,2188,5670444
37,16,81,5,33,3031,5670446
11,2,9,0,4,1025,5670526
43,22,45,6,10,2777,5670599
14,2,8,2,3,1338,5670626
14,1,18,2,5,1238,5670642
20,7,32,0,1,2078,5670694
32,11,17,8,4,1211,5670714
12,1,27,6,7,1723,5670757
17,1,23,3,2,978,5670857
42,6,18,4,11,1771,5670930
122,17,76,12,26,3207,5670932
30,6,5,1,13,1553,5670954
24,5,7,4,4,2374,5670955
85,7,92,11,12,2346,5670964
42,7,17,4,8,1493,5671008
46,14,49,3,16,2768,5671026
6,2,20,0,5,1209,5671027
91,12,86,24,13,3291,5671038
34,13,33,5,10,1760,5671069
20,13,36,5,4,2084,5671100
6,0,13,0,2,649,5671102
48,7,61,7,13,3382,5671121
111,13,209,26,48,4429,5671127
27,8,54,16,4,2268,5671139
61,9,51,27,17,3270,5671148
83,7,35,11,8,2085,5671150
87,12,44,8,7,1398,5671171
22,5,35,2,21,1477,5671172
50,5,49,4,12,2668,5671178
67,2,31,10,13,2075,5671194
13,4,12,7,2,1171,5671224
86,13,56,8,26,3144,5671225
6,9,4,5,3,997,5671231
42,3,25,7,8,2601,5671273
21,5,34,3,24,1228,5671286
25,15,28,27,6,1897,5671314
55,6,50,15,18,1971,5671326
214,21,177,52,31,3755,5671330
55,7,65,5,12,2517,5671357
68,8,74,6,22,2601,5671373
41,7,57,1,18,2492,5671388
19,2,38,0,4,1279,5671407
42,2,13,8,1,862,5671408
61,11,42,13,9,3514,5671411
39,2,36,4,11,869,5671442
21,1,8,7,2,792,5671456
0,0,0,0,0,41,5671462
261,36,253,41,36,7640,5671465
42,5,23,3,8,2222,5671484
12,0,9,0,0,318,5671491
24,3,8,14,3,1091,5671492
80,12,51,7,15,2378,5671530
22,0,29,3,1,869,5671550
56,9,17,13,17,1910,5671551
84,4,29,13,13,3326,5671553
32,5,19,14,9,2063,5671556
86,12,97,9,24,4579,5671567
31,9,60,2,13,3454,5671568
25,5,14,0,12,1436,5671581
48,13,60,5,5,2749,5671582
51,6,29,8,5,2624,5671644
0,1,1,0,0,65,5671716
63,19,44,14,16,2046,5671719
15,2,13,9,6,1118,5671720
61,7,53,14,14,2080,5671723
31,4,35,9,5,2260,5671831
2,0,3,1,1,348,5671847
5,0,2,1,3,244,5671884
48,17,46,10,34,2649,5671892
66,12,64,1,5,2072,5671964
58,13,43,21,4,2189,5671971
171,199,196,151,49,8524,5672122
78,17,40,15,25,2474,5672154
79,8,37,12,23,2688,5672289
7,12,34,3,3,1547,5672352
43,3,69,7,10,1801,5672365
71,7,106,6,27,3453,5672381
42,7,55,13,14,2035,5672388
40,6,21,12,11,1083,5672397
18,0,11,2,4,383,5672432
4,0,4,0,6,322,5672434
40,5,37,10,2,2008,5672489
30,4,21,5,8,1593,5672504
30,6,11,0,9,2037,5672505
3,0,1,0,0,163,5672522
57,5,63,12,9,2717,5672542
20,5,48,12,16,1473,5672546
26,10,26,6,1,950,5672547
69,7,53,10,20,3238,5672555
10,9,9,3,7,839,5672560
51,11,15,3,20,2561,5672581
81,19,84,6,12,2560,5672589
149,17,144,16,22,2862,5672595
15,1,7,1,11,1422,5672632
80,9,53,3,10,2005,5672635
42,3,37,0,12,2326,5672639
67,7,45,4,15,1585,5672640
12,0,4,7,4,613,5672641
137,25,60,25,22,3145,5672647
0,0,0,0,0,37,5672723
142,33,62,16,23,2870,5672744
45,6,25,20,15,1898,5672760
38,5,44,7,11,2809,5672768
57,4,47,3,9,1745,5672775
24,2,14,0,3,1050,5672826
20,1,12,4,2,1301,5672843
39,12,22,1,24,1782,5672882
88,10,34,3,7,2414,5672883
20,0,10,0,5,620,5672888
102,17,77,8,33,2525,5672896
42,6,23,1,15,1435,5672954
12,2,10,0,6,779,5672955
82,6,46,4,17,2418,5672977
21,2,14,2,1,1370,5672998
77,4,31,8,3,1818,5673012
28,3,35,9,8,1541,5673026
57,5,61,10,10,2606,5673032
57,8,30,28,6,1632,5673040
25,1,17,7,3,1349,5673066
54,10,89,15,7,3582,5673067
20,6,30,6,6,1729,5673078
57,7,35,19,13,1451,5673079
40,3,25,0,3,1663,5673089
9,2,35,2,2,1598,5673097
28,4,9,3,10,1435,5673102
46,8,29,5,7,2158,5673113
36,4,60,4,7,1795,5673121
82,27,52,15,18,3462,5673125
63,10,57,13,16,3493,5673130
13,8,9,0,8,1416,5673131
49,9,39,18,29,2194,5673153
86,3,27,1,9,1133,5673154
74,10,48,40,11,3834,5673155
21,2,3,4,3,1558,5673156
73,19,65,2,5,2752,5673164
61,14,111,16,15,2683,5673168
56,15,53,16,17,3941,5673169
5,3,7,1,1,875,5673174
72,9,56,14,8,2774,5673175
46,6,32,3,10,1574,5673180
35,6,18,5,8,1659,5673197
66,4,19,9,5,2610,5673198
